Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-05-28,186.48622780093694,195.1655989482387,186.48622780093694,194.05064392089844,5469588,0.0,0.0
2008-05-29,193.9641198094346,197.68384328105046,189.15826946727813,191.20556640625,8258940,0.0,0.0
2008-05-30,190.5039941419408,201.6535720029222,188.00495082827257,199.76007080078125,15485284,0.0,0.0
2008-06-02,195.11756634770106,203.2682949947503,185.50586357195223,189.1294708251953,7054764,0.0,0.0
2008-06-03,184.54468081271048,190.31170208810767,180.34437167701012,187.45703125,4900256,0.0,0.0
2008-06-04,190.27325469219625,190.27325469219625,181.92068312116413,183.919921875,3787856,0.0,0.0
2008-06-05,185.33288571795234,191.61894295144427,185.31366700172754,188.7450408935547,5905256,0.0,0.0
2008-06-06,190.31170979861875,191.974539026942,184.12177103229902,185.73654174804688,4137784,0.0,0.0
2008-06-09,173.44313158000867,185.4865967259649,171.08826501103653,175.72109985351562,6140140,0.0,0.0
2008-06-10,174.93297971827448,176.66308611109258,166.6669158414769,168.97372436523438,6155372,0.0,0.0
2008-06-11,171.08831664300942,174.93299791588603,169.1659760065711,171.1555938720703,4113368,0.0,0.0
2008-06-12,171.85717642881016,173.47194653813213,164.7445192388035,170.7518310546875,2464004,0.0,0.0
2008-06-13,169.16595617788394,177.22056719365844,169.16595617788394,174.8560791015625,6732432,0.0,0.0
2008-06-16,176.663036762424,178.3931426719581,173.63535142073937,175.0867156982422,6541784,0.0,0.0
2008-06-17,173.97182698835127,178.20097637370344,173.97182698835127,177.10523986816406,3504824,0.0,0.0
2008-06-18,177.97504917393235,178.01370814749194,172.2152160254238,174.12872314453125,6431336,1.25,0.0
2008-06-19,170.13735647029705,173.568129633998,170.08903572151254,171.6352996826172,3289068,0.0,0.0
2008-06-20,173.93537559263527,173.93537559263527,162.6573055179709,166.96751403808594,8157760,0.0,0.0
2008-06-23,166.96754946325171,169.98277196689799,162.93760279619147,165.923828125,3572312,0.0,0.0
2008-06-24,164.2905404184421,167.71165167833172,159.14921763711146,163.20816040039062,9287176,0.0,0.0
2008-06-25,162.35772310184177,171.05545826801188,160.6761586103039,169.4705352783203,5914196,0.0,0.0
2008-06-26,170.86219558424983,173.56815795775606,166.30072087344897,170.34999084472656,7028316,0.0,0.0
2008-06-27,170.3499999231622,170.3499999231622,164.512861644026,167.28646850585938,6260948,0.0,0.0
2008-06-30,168.34950855036246,169.70248967533666,164.2905651754398,165.87548828125,3258044,0.0,0.0
2008-07-01,167.18980198098933,168.54278303748288,161.4009735298659,163.84600830078125,5059616,0.0,0.0
2008-07-02,164.29053751047311,171.6352909521178,162.35770765740872,169.41253662109375,8141112,0.0,0.0
2008-07-03,170.28230246276652,170.28230246276652,158.59834416252176,165.57586669921875,4172528,0.0,0.0
2008-07-04,168.13688619852357,168.16587157025074,161.48794628841205,163.2274932861328,3939584,0.0,0.0
2008-07-07,163.32413162853612,166.99650855272807,160.8114526804048,164.72543334960938,1794132,0.0,0.0
2008-07-08,160.45390022034448,163.3241482849908,158.1055068605,160.46356201171875,3947624,0.0,0.0
2008-07-09,164.29054123198915,172.01219902930413,164.29054123198915,169.4608612060547,3578548,0.0,0.0
2008-07-10,168.15626356053676,171.82864173024961,164.7448128051103,167.84701538085938,3504368,0.0,0.0
2008-07-11,177.2405171571771,182.26587533175353,151.8044781923751,154.35580444335938,5523784,0.0,0.0
2008-07-14,154.62640696432737,154.62640696432737,147.0883696248164,148.412353515625,4559896,0.0,0.0
2008-07-15,148.41234883217618,152.00741975888232,142.4785700898193,145.087890625,4509844,0.0,0.0
2008-07-16,145.86101239620928,149.53338918792775,138.371296570994,140.72933959960938,5739900,0.0,0.0
2008-07-17,142.0629965608355,152.09438838375013,141.10624340825922,151.38890075683594,10350716,0.0,0.0
2008-07-18,150.7607786236324,155.0130057130169,144.7690040885906,153.437744140625,8339496,0.0,0.0
2008-07-21,154.43310008361544,157.52562774486432,151.3405724223666,157.10040283203125,3582068,0.0,0.0
2008-07-22,157.7189396457415,163.12120225404848,155.79577129432587,160.782470703125,4241164,0.0,0.0
2008-07-23,160.42493232441922,168.15625436415024,158.27949517721834,166.32972717285156,5971420,0.0,0.0
2008-07-24,169.02605944727722,169.02605944727722,153.14784914401068,155.1193389892578,11742336,0.0,0.0
2008-07-25,154.47178649902344,164.19391970295308,151.14731631278318,154.47178649902344,8842536,0.0,0.0
2008-07-28,154.62643834786823,157.90258836977588,151.7271926288457,155.83445739746094,1969372,0.0,0.0
2008-07-29,155.92143638640377,157.2937413013858,153.08017323587123,156.3563232421875,2472192,0.0,0.0
2008-07-30,163.51744341743907,163.51744341743907,154.62642403540337,162.15480041503906,4420076,0.0,0.0
2008-07-31,162.94038137181408,163.3283346607946,159.35181344874437,161.72802734375,5195580,0.75,0.0
2008-08-01,160.0306981814697,166.2282530425578,157.3635198784452,163.06643676757812,4011724,0.0,0.0
2008-08-04,158.09097216015277,162.94038848408385,157.31506554832382,158.1588592529297,5238928,0.0,0.0
2008-08-05,158.16863984565043,161.9705792454725,156.199771182535,160.9425048828125,4768200,0.0,0.0
